x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,15.0
89669.03262291063,43131.85089076774,0,0,0,-0.8604413700349381,0.5094966917113355,15
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,15.0
89667.55856153846,43129.1673431415,0,0,0,-0.8663954353671248,0.49898091755255514,15
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,15.0
89666.16009305717,43126.748370633344,0,0,0,-0.8722065281858411,0.4890734778902899,15
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,15.0
89664.53047723418,43124.28718679317,0,0,0,-0.9170490857818177,0.3776942623680239,15
89663.61899387454,43122.9598963162,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,15.0
89662.35643242978,43121.8685296436,0,0,0,-0.9622656544568533,0.2718060742450851,15
89661.093870985,43120.77716297101,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,15.0
89660.18389950394,43120.02125318967,0,0,0,0.010677059512132936,0.2413234729878307,25
89659.19111394083,43119.19126821589,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,15.0
89658.21256662234,43118.39111253758,0.0,0.0,0.0,-0.3152122408813598,0.19267926824332562,15.0
89656.58242597026,43117.40544609678,0.0,0.0,0.0,0.3400877325724708,0.14430658808920444,15.0
89654.68689043171,43116.559458519674,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,15.0
89652.60184995935,43116.57142064688,0.0,0.0,0.0,0.992551697522738,0.11777507626192987,20.0
89650.66842732548,43117.06425386728,0.0,0.0,0.0,0.9897156890191743,0.13961624458877656,25.0
89648.8866456825,43117.67081783085,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,30.0
89646.95644308488,43118.5364548462,0.0,0.0,0.0,0.9828388597749671,0.18446619125531533,35.0
89645.47449703753,43119.12234049283,0,0,0,0.9828388597749477,0.18446619125541888,35
89644.19933415958,43119.639298416325,0.0,0.0,0.0,0.9828388597749282,0.18446619125552244,35.0
89643.02756286634,43120.121792478254,0,0,0,0.981476768549506,0.19144904607665197,35
89641.85579157308,43120.74214198645,0.0,0.0,0.0,0.9801146773240839,0.19843190089778148,35.0
89640.92526731078,43121.36249149464,0,0,0,0.9711574213768304,0.23538757161800128,35
89639.71894427919,43122.29097413248,0.0,0.0,0.0,0.9622001654295769,0.27234324233822105,35.0
89638.6262115307,43122.96173430201,0,0,0,0.9639029600119823,0.2661769351895411,35
89637.01718467119,43123.90033330338,0.0,0.0,0.0,0.9656057545943877,0.2600106280408611,35.0
89635.98919528873,43124.52606597097,0,0,0,0.9440556820116812,0.3229971535966648,35
89634.96120590626,43125.15179863855,0.0,0.0,0.0,0.9225056094289749,0.38598367915246845,35.0
89633.75960710598,43126.14321922875,0,0,0,0.9016302305789038,0.42977807817347724,35
89632.77593242646,43127.24263376448,0.0,0.0,0.0,0.8807548517288327,0.47357247719448603,35.0
89631.62347250347,43128.43486354379,0,0,0,0.8807548517287664,0.47357247719460915,35
89630.68893670123,43129.735087268644,0.0,0.0,0.0,0.8807548517287003,0.4735724771947322,35.0
89629.50187980062,43131.422478584325,0,0,0,0.8842167636287563,0.46701795286117753,35
89628.3148229,43133.1098699,0.0,0.0,0.0,0.8876786755288125,0.4604634285276228,35.0
89627.45553375,43134.329527249996,0,0,0,0.8871272584419675,0.4615233470164126,35
89626.5962446,43135.5491846,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,35.0
89625.7428032,43136.7729216,0,0,0,0.8865967880854404,0.462543115077674,35
89624.8893618,43137.9966586,0.0,0.0,0.0,0.8866177348157583,0.46250296465014545,35.0
89624.0356628,43139.2202925,0,0,0,0.8863202263809057,0.4630723955768159,35
89623.38037860267,43140.52288772692,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,35.0
89622.65764369315,43141.51664822751,0,0,0,0.8859315961893195,0.463815877559727,35
89621.88973785177,43142.962118046555,0.0,0.0,0.0,0.8858404744325861,0.4639899286159677,35.0
89620.94967284988,43144.08571235772,0,0,0,0.8849529742536206,0.46567649842501424,35
89620.25960329185,43145.29451957286,0.0,0.0,0.0,0.8840654740746551,0.4673630682340607,35.0
89619.54600037758,43146.51220625687,0,0,0,0.8828996858144269,0.469555088115715,35
89618.77184451983,43147.7352151103,0.0,0.0,0.0,0.8817338975541988,0.47174710799736924,35.0
89618.18191331081,43148.9352693972,0,0,0,0.8782334164768122,0.47817620138801076,35
89617.33721688531,43150.32653409803,0.0,0.0,0.0,0.8747329353994254,0.48460529477865233,35.0
89616.36671585077,43151.53172399421,0,0,0,0.8633840992932018,0.5040448441621703,35
89615.72225793645,43152.79286164006,0.0,0.0,0.0,0.8520352631869781,0.5234843935456882,35.0
89614.97858527947,43154.11933821229,0,0,0,0.8254300890389721,0.5625239928266614,35
89614.35593538353,43155.49408870111,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,35.0
89613.70999105815,43156.73628932685,0,0,0,0.7508394552182529,0.6564488668326816,35
89612.9634535777,43158.31787241256,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,35.0
89612.58018438374,43159.802226793196,0,0,0,0.6358691953919391,0.7668758209454645,35
89612.0445513182,43161.65074566568,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,35.0
89612.07901517977,43163.37393874399,0,0,0,0.45045437343576117,0.8828441575319093,35
89612.59597310326,43165.47623429954,0.0,0.0,0.0,0.332024351633184,0.9432708147306179,35.0
89613.8711359813,43166.92371648532,0,0,0,0.2138927656360819,0.9693375764569634,35
89615.66325678266,43167.81977688605,0.0,0.0,0.0,0.09576117963897977,0.9954043381833089,35.0
89617.76555233821,43167.95763233231,0,0,0,-0.037852403084818395,0.9902971892935134,35
89619.45428155496,43167.71638530135,0.0,0.0,0.0,-0.17146598580861655,0.9851900404037179,35.0
89620.72944443292,43167.16496351628,0,0,0,-0.2718820611368622,0.9566516163150399,35
89622.00460731087,43166.303366977125,0.0,0.0,0.0,-0.3722981364651079,0.9281131922263619,35.0
89623.24530632726,43164.78695706821,0,0,0,-0.4028848755407206,0.9146402063682337,35
89624.17583058955,43163.580721913386,0.0,0.0,0.0,-0.43347161461633327,0.9011672205101054,35.0
89624.83064395939,43162.4434144817,0,0,0,-0.47059594814820505,0.8813445983826638,35
89625.7384085,43161.107721,0.0,0.0,0.0,-0.5077202816800768,0.8615219762552221,35.0
89626.4600298,43159.8045842,0,0,0,-0.5217144902560651,0.852962418133381,35
89627.1816511,43158.5014474,0.0,0.0,0.0,-0.5357086988320535,0.8444028600115399,35.0
89627.81726400001,43157.1516814,0,0,0,-0.5466263999408585,0.8372750907530891,35
89628.4528769,43155.8019154,0.0,0.0,0.0,-0.5575441010496636,0.8301473214946384,35.0
89629.01774065,43154.419673,0,0,0,-0.5633153611090838,0.82621245045434,35
89629.5826044,43153.0374306,0.0,0.0,0.0,-0.569086621168504,0.8222775794140417,35.0
89630.13577055061,43151.788048733135,0,0,0,-0.5231039894172844,0.8505574994984029,35
89630.68893670123,43150.53866686627,0.0,0.0,0.0,-0.4771213576660648,0.878837419582764,35.0
89631.42031254646,43148.994651192996,0,0,0,-0.5141105321206254,0.8566384101330436,35
89632.15168839166,43147.45063551972,0.0,0.0,0.0,-0.551099706575186,0.8344394006833233,35.0
89632.68068348122,43146.48027660193,0,0,0,-0.5348912679801687,0.8447030691705011,35
89633.20967857075,43145.509917684125,0.0,0.0,0.0,-0.5186828293851513,0.8549667376576787,35.0
89633.8340607813,43144.311109864735,0,0,0,-0.5060114715522198,0.8624016175249132,35
89634.45844299185,43143.112302045345,0.0,0.0,0.0,-0.49334011371928826,0.8698364973921476,35.0
89635.1698024291,43141.55831437244,0,0,0,-0.4229770488585277,0.9028026837570251,35
89635.95151289899,43140.10750304078,0.0,0.0,0.0,-0.3526139839977672,0.9357688701219027,35.0
89636.96192323061,43138.80120544714,0,0,0,-0.29249188412217925,0.954198192672535,35
89638.34393593545,43137.24869105921,0.0,0.0,0.0,-0.23236978424659124,0.9726275152231674,35.0
89639.30546581713,43136.457662860674,0,0,0,-0.1433877635870879,0.9855732129893706,35
89640.40830938726,43135.664994044644,0.0,0.0,0.0,-0.05440574292758456,0.9985189107555739,35.0
89641.97049802454,43135.2143358454,0,0,0,0.05313614743188365,0.9927628920860638,35
89643.03194778247,43135.09832218546,0.0,0.0,0.0,0.16067803779135187,0.9870068734165537,35.0
89644.81469472655,43135.121998439055,0,0,0,0.25210105324631404,0.9630753732161246,35
89646.0948465457,43135.94070493713,0.0,0.0,0.0,0.34352406870127616,0.9391438730156956,35.0
89647.025370808,43136.87122919942,0,0,0,0.44876999969915154,0.8858249690895658,35
89647.5995563383,43137.85821086782,0.0,0.0,0.0,0.5540159306970269,0.832506065163436,35.0
89648.02482279342,43139.21477178593,0,0,0,0.626735913338654,0.7735909152566529,35
89648.19714210124,43141.00689258738,0.0,0.0,0.0,0.699455895980281,0.71467576534987,35.0
89647.85250348558,43142.93686883514,0,0,0,0.7773673934206953,0.6164218549924976,35
89647.12876239262,43144.48774260556,0.0,0.0,0.0,0.8552788908611095,0.5181679446351253,35.0
89646.22757895637,43145.98191223698,0,0,0,0.8553683318379981,0.5180202574006858,35
89645.47472338747,43147.164990559344,0.0,0.0,0.0,0.8554577728148866,0.5178725701662464,35.0
89644.54205206389,43148.4089271864,0,0,0,0.8687294700844348,0.49455989424942226,35
89643.6741770872,43149.73237788624,0.0,0.0,0.0,0.882001167353983,0.47124721833259803,35.0
89642.93857300848,43150.97199777216,0,0,0,0.8959876348555151,0.4429561518600874,35
89642.16460298555,43152.18187548517,0.0,0.0,0.0,0.9099741023570471,0.4146650853875768,35.0
89641.3043697879,43153.424221909714,0,0,0,0.920943056999493,0.3886747623762683,35
89640.44277324874,43154.63045706453,0.0,0.0,0.0,0.9319120116419387,0.36268443936495975,35.0
89639.73554329583,43155.73547785764,0,0,0,0.9156737630571999,0.39986896593202886,35
89638.91425362592,43156.721025461535,0.0,0.0,0.0,0.8994355144724612,0.437053492499098,35.0
89637.96977050552,43157.87083099941,0,0,0,0.9021269839873727,0.43142552865666783,35
89637.18954531911,43159.06170102078,0.0,0.0,0.0,0.9048184535022841,0.4257975648142377,35.0
89636.45038461618,43160.088313108165,0,0,0,0.9069317184825483,0.42124777930960866,35
89635.50436971366,43161.44181760455,0.0,0.0,0.0,0.9090449834628126,0.4166979938049796,35.0
89634.60248285906,43162.75750453526,0,0,0,0.9101508230653486,0.4142684561234369,35
89633.68463634569,43163.73176881427,0.0,0.0,0.0,0.9112566626678846,0.4118389184418941,35.0
89632.79595705,43164.9007204,0,0,0,0.9086924375713068,0.41742103283054965,35
89631.89222694836,43166.0426632149,0.0,0.0,0.0,0.9061282124747289,0.4230031472192053,35.0
89630.8413217,43167.176931199996,0,0,0,0.9011434763187769,0.43336837623551294,35
89629.96219622406,43168.42440325764,0.0,0.0,0.0,0.8961587401628248,0.4437336052518206,35.0
89628.97416075,43169.51245935,0,0,0,0.9034548265983164,0.4283448731370938,35
89628.0728391,43170.6949574,0.0,0.0,0.0,0.910750913033808,0.41295614102236705,35.0
89627.12487935,43171.77709185,0,0,0,0.9186969516001797,0.3944493241480046,35
89626.1769196,43172.8592263,0.0,0.0,0.0,0.9266429901665514,0.37594250727364215,35.0
89625.06277445,43173.941367549996,0,0,0,0.9339482379902342,0.35682168704102524,35
89623.5350629612,43175.0235088,0.0,0.0,0.0,0.941253485813917,0.3377008668084083,35.0
89622.3796457789,43175.97507149404,0,0,0,0.8934237715101293,0.4357636638824432,35
89621.14301077163,43177.09055564733,0.0,0.0,0.0,0.8455940572063416,0.5338264609564781,35.0
89620.04016720151,43178.77928486408,0,0,0,0.7618058148322099,0.6344360771959822,35
89619.59213700115,43180.157839326734,0.0,0.0,0.0,0.6780175724580781,0.7350456934354862,35.0
89619.38535383172,43181.84656854347,0,0,0,0.6205578918016491,0.7807178383999551,35
89619.3545627064,43183.52091812566,0.0,0.0,0.0,0.5630982111452201,0.826389983364424,35.0
89620.05050635996,43185.13097455074,0,0,0,0.44589058469811216,0.8854151503358236,35
89621.22227765324,43186.26828198244,0.0,0.0,0.0,0.3286829582510043,0.9444403173072232,35.0
89622.32512122336,43187.2332701063,0,0,0,0.22903276416201274,0.9680175342419914,35
89623.6384206991,43188.070147852406,0.0,0.0,0.0,0.12938257007302117,0.9915947511767595,35.0
89625.04776628707,43188.68075229208,0,0,0,0.02776294448700284,0.9944318084791095,35
89626.39185688816,43189.16324635401,0.0,0.0,0.0,-0.07385668109901548,0.9972688657814593,35.0
89628.04612224337,43189.26663793871,0,0,0,-0.1657238175699141,0.9817614608027334,35
89630.02223105668,43188.634276073084,0.0,0.0,0.0,-0.2575909540408127,0.9662540558240074,35.0
89631.30273312102,43187.99364431162,0,0,0,-0.2826017958237722,0.9588828647612823,35
89632.52748192048,43187.33854611656,0.0,0.0,0.0,-0.30761263760673174,0.9515116736985572,35.0
89633.74708205668,43186.31049457308,0,0,0,-0.2964256560934706,0.9549840962736695,35
89634.97697951942,43185.002978638506,0.0,0.0,0.0,-0.28523867458020946,0.9584565188487819,35.0
89635.9624712451,43183.81100865279,0,0,0,-0.22416787469896704,0.97253327262259,35
89637.27209798462,43182.4669180517,0.0,0.0,0.0,-0.16309707481772462,0.9866100263963982,35.0
89638.85875100999,43180.92582869005,0,0,0,-0.08666688137805112,0.9932788150668701,35
89640.36711250506,43180.16788556956,0.0,0.0,0.0,-0.010236687938377616,0.9999476037373419,35.0
